event,row_index,target,model,temperature,prompt_index,request_chars,response_chars,error
error,28,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,29,generator,deepseek-chat,0.7,1,2053,,
error,29,generator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,29,validator,deepseek-chat,0.3,1,1630,,
error,29,validator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,30,generator,qwen3-max,0.7,1,2053,,
error,30,generator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,30,validator,qwen3-max,0.3,1,1630,,
error,30,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,31,generator,deepseek-chat,0.7,1,2058,,
error,31,generator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,31,validator,deepseek-chat,0.3,1,1633,,
error,31,validator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,32,generator,qwen3-max,0.7,1,2058,,
error,32,generator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,32,validator,qwen3-max,0.3,1,1633,,
error,32,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,33,generator,deepseek-chat,0.7,1,2048,,
error,33,generator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,33,validator,deepseek-chat,0.3,1,1625,,
error,33,validator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,34,generator,qwen3-max,0.7,1,2048,,
error,34,generator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,34,validator,qwen3-max,0.3,1,1625,,
error,34,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,35,generator,deepseek-chat,0.7,1,2041,,
error,35,generator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,35,validator,deepseek-chat,0.3,1,1624,,
error,35,validator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,36,generator,qwen3-max,0.7,1,2041,,
error,36,generator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,36,validator,qwen3-max,0.3,1,1624,,
error,36,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,37,generator,deepseek-chat,0.7,1,2034,,
error,37,generator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,37,validator,deepseek-chat,0.3,1,1623,,
error,37,validator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,38,generator,qwen3-max,0.7,1,2034,,
error,38,generator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,38,validator,qwen3-max,0.3,1,1623,,
error,38,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,39,generator,deepseek-chat,0.7,1,2058,,
error,39,generator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,39,validator,deepseek-chat,0.3,1,1631,,
error,39,validator,deepseek-chat,0.7,1,,,getaddrinfo ENOTFOUND api.deepseek.com
request,40,generator,qwen3-max,0.7,1,2058,,
error,40,generator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
request,40,validator,qwen3-max,0.3,1,1631,,
error,40,validator,qwen3-max,0.7,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com
info,,run,,,,,,cases=20 models=2 generator_prompts=1 validator_prompts=1 validator_used=true
